39,36,39,38,38,39,38,38,39,39,39,39,40,40,40,40,40,40,43,40,40,40,40,40,42,42,42,43,43,42,43
36,32,33,33,33,35,35,33,35,36,35,35,36,36,36,36,38,38,39,39,39,39,39,38,38,38,38,38,38,38,38
39,35,35,35,35,35,35,36,36,36,36,38,38,38,38,38,38,39,39,39,39,40,39,39,40,40,42,42,40,40,40
38,35,36,36,36,36,35,36,36,36,36,36,36,38,38,38,38,38,38,39,39,40,39,39,40,40,40,45,36,17,17
36,33,36,36,36,38,38,38,38,38,36,36,38,38,38,38,38,38,38,38,38,38,39,39,39,40,43,25,36,73,72
36,33,35,35,35,35,36,36,38,38,39,38,38,38,38,38,38,38,38,38,38,38,38,39,39,42,22,33,115,194,229
38,33,35,35,35,35,35,36,36,36,38,38,38,38,38,38,38,38,38,39,39,39,39,39,42,25,25,101,181,255,255
38,35,36,36,36,36,36,36,36,36,35,36,36,36,38,38,38,38,38,39,40,39,39,40,30,19,110,142,143,213,242
38,35,38,36,36,38,38,38,36,38,36,36,38,36,36,38,38,38,38,38,38,39,40,35,12,97,150,137,127,119,112
36,33,35,35,35,36,36,36,38,38,38,40,39,38,38,38,38,38,38,38,38,38,36,10,84,148,135,132,134,122,162
38,32,35,36,36,35,35,35,36,36,36,39,39,39,39,38,38,38,38,39,39,40,14,68,147,139,131,133,131,119,221
38,35,36,36,36,36,36,36,36,36,36,36,38,38,38,38,38,38,38,38,40,27,50,137,144,132,133,133,134,124,158
38,33,36,35,36,38,36,36,36,38,38,36,36,38,36,36,38,38,38,38,36,21,108,151,134,133,132,132,133,138,124
39,35,36,36,36,36,38,36,36,36,36,38,38,38,38,36,38,38,38,38,30,42,108,130,136,138,137,134,133,135,128
38,33,36,36,36,36,36,36,38,38,38,36,38,38,38,38,38,39,39,39,30,51,86,89,106,121,131,138,139,136,119
39,35,39,25,14,17,15,19,19,21,24,27,29,33,35,36,38,38,39,39,30,54,83,70,77,84,97,111,124,132,136
39,35,25,61,78,56,51,56,71,60,54,50,46,29,14,22,17,27,39,38,29,58,92,72,73,73,75,78,85,101,99
38,27,35,102,147,206,217,156,115,124,121,121,98,89,96,71,77,53,30,38,27,55,99,73,73,75,75,76,73,66,110
36,15,55,114,225,255,255,237,116,112,123,111,146,221,239,203,139,105,38,33,32,50,97,79,73,75,76,76,73,43,197
36,12,77,119,185,249,249,185,89,83,97,90,191,255,255,255,152,94,46,33,36,43,89,80,69,73,76,77,75,43,140
32,24,98,125,102,120,122,94,147,193,158,100,125,196,226,174,123,98,35,35,36,43,77,60,47,59,78,79,77,75,50
29,43,114,122,107,102,86,160,255,255,255,177,82,93,100,98,130,96,27,35,38,32,69,167,169,100,75,86,82,83,79
22,63,118,100,121,107,84,151,249,255,249,152,80,95,112,124,133,84,25,33,36,21,46,223,255,226,118,73,80,82,83
21,69,123,191,245,229,151,92,125,162,126,93,145,154,117,117,129,70,27,32,35,25,2,98,233,255,141,55,78,80,82
27,72,147,255,255,255,201,93,106,92,90,191,255,255,217,128,113,53,30,27,14,17,51,50,71,110,78,77,82,79,80
35,97,112,171,231,202,123,100,111,112,98,212,255,255,233,131,96,36,14,27,51,111,131,89,73,54,66,69,68,76,82
43,96,128,121,116,105,120,137,134,130,118,128,185,190,136,128,79,5,60,96,173,245,247,181,99,101,97,85,75,66,64
45,83,98,104,101,104,112,121,128,126,127,117,99,93,113,132,79,56,112,118,215,255,255,219,95,95,101,101,101,90,80
38,77,85,79,79,79,78,76,76,79,84,85,88,94,92,92,118,110,60,99,145,187,181,123,95,101,98,96,97,97,99
35,73,86,83,83,84,84,84,84,84,85,85,83,83,85,84,88,79,77,76,103,107,97,104,122,111,90,88,96,95,95
32,72,86,83,83,86,80,54,60,72,84,84,83,83,85,79,27,0,182,168,60,120,124,118,110,101,133,121,94,106,106
